+++,++-,+-+,+--,-++,-+-,--+,---,
28,29,30,2,0,0,0,0,0,0,0,
28,29,31,2,0,1,0,0,0,0,0,
28,29,32,2,1,2,0,0,0,0,0,
28,29,33,2,2,3,0,0,0,0,0,
28,29,34,2,3,4,2,0,0,0,0,
28,29,35,2,4,5,4,0,0,0,0,
28,29,36,2,5,6,9,0,0,0,0,
28,29,37,1,6,7,15,0,0,0,0,
28,29,38,1,7,7,25,0,0,0,0,
28,29,39,1,7,7,37,0,0,0,0,
28,29,40,1,7,7,55,0,0,0,0,
28,29,41,1,7,7,74,0,0,0,0,
28,29,42,1,7,7,101,0,0,0,0,
28,29,43,1,7,7,131,0,0,0,0,
28,30,31,4,0,2,0,0,0,0,0,
28,30,32,4,2,4,0,0,0,0,0,
28,30,33,4,2,6,2,0,0,0,0,
28,30,34,4,4,8,6,0,0,0,0,
28,30,35,4,6,10,10,0,0,0,0,
28,30,36,4,8,12,20,0,0,0,0,
28,30,37,3,10,13,32,0,0,0,0,
28,30,38,2,12,14,52,0,0,0,0,
28,30,39,2,13,14,75,0,0,0,0,
28,30,40,2,14,14,110,0,0,0,0,
28,30,41,2,14,14,148,0,0,0,0,
28,30,42,2,14,14,202,0,0,0,0,
28,30,43,2,14,14,262,0,0,0,0,
28,31,32,6,1,6,2,0,0,0,0,
28,31,33,6,2,9,4,0,0,0,0,
28,31,34,6,6,12,9,0,0,0,0,
28,31,35,6,6,15,18,0,0,0,0,
28,31,36,6,9,18,33,0,0,0,0,
28,31,37,5,12,19,51,0,0,0,0,
28,31,38,4,15,20,81,0,0,0,0,
28,31,39,3,18,21,114,0,0,0,0,
28,31,40,3,19,21,167,0,0,0,0,
28,31,41,3,20,21,223,0,0,0,0,
28,31,42,3,21,21,303,0,0,0,0,
28,31,43,3,21,21,393,0,0,0,0,
28,32,33,8,2,12,6,0,2,5,0,
28,32,34,8,4,16,16,0,4,6,1,
28,32,35,8,6,20,26,0,4,7,4,
28,32,36,8,12,24,44,0,4,8,10,
28,32,37,7,12,25,72,0,5,8,16,
28,32,38,6,16,26,112,0,6,8,26,
28,32,39,5,20,27,156,0,6,8,38,
28,32,40,4,24,28,224,0,6,8,56,
28,32,41,4,25,28,299,0,7,8,74,
28,32,42,4,26,28,406,0,8,8,100,
28,32,43,4,27,28,525,0,8,8,130,
28,33,34,10,3,20,22,0,6,12,4,
28,33,35,10,6,25,34,0,6,14,10,
28,33,36,10,9,30,61,0,8,16,20,
28,33,37,9,12,31,93,0,10,16,32,
28,33,38,8,20,32,140,0,10,16,54,
