score, v[0], v[1], v[2]
1, 0, 1, 2
1, 0, 1, 3
2, 0, 1, 4
2, 0, 1, 5
2, 0, 2, 3
2, 1, 2, 3
3, 0, 1, 6
3, 0, 1, 7
3, 0, 2, 4
3, 0, 2, 5
3, 0, 3, 4
3, 0, 3, 5
3, 1, 2, 4
3, 1, 2, 5
3, 1, 3, 4
3, 1, 3, 5
4, 0, 1, 8
4, 0, 1, 9
4, 0, 2, 6
4, 0, 2, 7
4, 0, 3, 6
4, 0, 3, 7
4, 0, 4, 5
4, 1, 2, 6
4, 1, 2, 7
4, 1, 3, 6
4, 1, 3, 7
4, 1, 4, 5
4, 2, 3, 4
4, 2, 3, 5
5, 0, 1, 10
5, 0, 1, 11
5, 0, 2, 8
5, 0, 2, 9
5, 0, 3, 8
5, 0, 3, 9
5, 0, 4, 6
5, 0, 4, 7
5, 0, 5, 6
5, 0, 5, 7
5, 1, 2, 8
5, 1, 2, 9
5, 1, 3, 8
5, 1, 3, 9
5, 1, 4, 6
5, 1, 4, 7
5, 1, 5, 6
5, 1, 5, 7
5, 2, 3, 6
5, 2, 3, 7
5, 2, 4, 5
5, 3, 4, 5
6, 0, 1, 12
6, 0, 1, 13
6, 0, 2, 10
6, 0, 2, 11
6, 0, 3, 10
6, 0, 3, 11
6, 0, 4, 8
6, 0, 4, 9
6, 0, 5, 8
6, 0, 5, 9
6, 0, 6, 7
6, 1, 2, 10
6, 1, 2, 11
6, 1, 3, 10
6, 1, 3, 11
6, 1, 4, 8
6, 1, 4, 9
6, 1, 5, 8
6, 1, 5, 9
6, 1, 6, 7
6, 2, 3, 8
6, 2, 3, 9
6, 2, 4, 6
6, 2, 4, 7
6, 2, 5, 6
6, 2, 5, 7
6, 3, 4, 6
6, 3, 4, 7
6, 3, 5, 6
6, 3, 5, 7
7, 0, 1, 14
7, 0, 1, 15
7, 0, 2, 12
7, 0, 2, 13
7, 0, 3, 12
7, 0, 3, 13
7, 0, 4, 10
7, 0, 4, 11
7, 0, 5, 10
7, 0, 5, 11
7, 0, 6, 8
7, 0, 6, 9
7, 0, 7, 8
7, 0, 7, 9
7, 1, 2, 12
7, 1, 2, 13
7, 1, 3, 12
7, 1, 3, 13
7, 1, 4, 10
7, 1, 4, 11
7, 1, 5, 10
7, 1, 5, 11
7, 1, 6, 8
7, 1, 6, 9
7, 1, 7, 8
7, 1, 7, 9
7, 2, 3, 10
7, 2, 3, 11
7, 2, 4, 8
7, 2, 4, 9
7, 2, 5, 8
7, 2, 5, 9
7, 2, 6, 7
7, 3, 4, 8
7, 3, 4, 9
7, 3, 5, 8
7, 3, 5, 9
7, 3, 6, 7
7, 4, 5, 6
7, 4, 5, 7
8, 0, 1, 16
8, 0, 1, 17
8, 0, 2, 14
8, 0, 2, 15
8, 0, 3, 14
8, 0, 3, 15
8, 0, 4, 12
8, 0, 4, 13
8, 0, 5, 12
8, 0, 5, 13
8, 0, 6, 10
8, 0, 6, 11
8, 0, 7, 10
8, 0, 7, 11
8, 0, 8, 9
8, 1, 2, 14
8, 1, 2, 15
8, 1, 3, 14
8, 1, 3, 15
8, 1, 4, 12
8, 1, 4, 13
8, 1, 5, 12
8, 1, 5, 13
8, 1, 6, 10
8, 1, 6, 11
8, 1, 7, 10
8, 1, 7, 11
8, 1, 8, 9
8, 2, 3, 12
8, 2, 3, 13
8, 2, 4, 10
8, 2, 4, 11
8, 2, 5, 10
8, 2, 5, 11
8, 2, 6, 8
8, 2, 6, 9
8, 2, 7, 8
8, 2, 7, 9
8, 3, 4, 10
8, 3, 4, 11
8, 3, 5, 10
8, 3, 5, 11
8, 3, 6, 8
8, 3, 6, 9
8, 3, 7, 8
8, 3, 7, 9
8, 4, 5, 8
8, 4, 5, 9
8, 4, 6, 7
8, 5, 6, 7
9, 0, 1, 18
9, 0, 1, 19
9, 0, 2, 16
9, 0, 2, 17
9, 0, 3, 16
9, 0, 3, 17
9, 0, 4, 14
9, 0, 4, 15
9, 0, 5, 14
9, 0, 5, 15
9, 0, 6, 12
9, 0, 6, 13
9, 0, 7, 12
9, 0, 7, 13
9, 0, 8, 10
9, 0, 8, 11
9, 0, 9, 10
9, 0, 9, 11
9, 1, 2, 16
9, 1, 2, 17
9, 1, 3, 16
9, 1, 3, 17
9, 1, 4, 14
9, 1, 4, 15
9, 1, 5, 14
9, 1, 5, 15
9, 1, 6, 12
9, 1, 6, 13
9, 1, 7, 12
9, 1, 7, 13
9, 1, 8, 10
9, 1, 8, 11
9, 1, 9, 10
9, 1, 9, 11
9, 2, 3, 14
9, 2, 3, 15
9, 2, 4, 12
9, 2, 4, 13
9, 2, 5, 12
9, 2, 5, 13
9, 2, 6, 10
9, 2, 6, 11
9, 2, 7, 10
9, 2, 7, 11
9, 2, 8, 9
9, 3, 4, 12
9, 3, 4, 13
9, 3, 5, 12
9, 3, 5, 13
9, 3, 6, 10
9, 3, 6, 11
9, 3, 7, 10
9, 3, 7, 11
9, 3, 8, 9
9, 4, 5, 10
9, 4, 5, 11
9, 4, 6, 8
9, 4, 6, 9
9, 4, 7, 8
9, 4, 7, 9
9, 5, 6, 8
9, 5, 6, 9
9, 5, 7, 8
9, 5, 7, 9
10, 0, 1, 20
10, 0, 1, 21
10, 0, 2, 18
10, 0, 2, 19
10, 0, 3, 18
10, 0, 3, 19
10, 0, 4, 16
10, 0, 4, 17
10, 0, 5, 16
10, 0, 5, 17
10, 0, 6, 14
10, 0, 6, 15
10, 0, 7, 14
10, 0, 7, 15
10, 0, 8, 12
10, 0, 8, 13
10, 0, 9, 12
10, 0, 9, 13
10, 0, 10, 11
10, 1, 2, 18
10, 1, 2, 19
10, 1, 3, 18
10, 1, 3, 19
10, 1, 4, 16
10, 1, 4, 17
10, 1, 5, 16
10, 1, 5, 17
10, 1, 6, 14
10, 1, 6, 15
10, 1, 7, 14
10, 1, 7, 15
10, 1, 8, 12
10, 1, 8, 13
10, 1, 9, 12
10, 1, 9, 13
10, 1, 10, 11
10, 2, 3, 16
10, 2, 3, 17
10, 2, 4, 14
10, 2, 4, 15
10, 2, 5, 14
10, 2, 5, 15
10, 2, 6, 12
10, 2, 6, 13
10, 2, 7, 12
10, 2, 7, 13
10, 2, 8, 10
10, 2, 8, 11
10, 2, 9, 10
10, 2, 9, 11
10, 3, 4, 14
10, 3, 4, 15
10, 3, 5, 14
10, 3, 5, 15
10, 3, 6, 12
10, 3, 6, 13
10, 3, 7, 12
10, 3, 7, 13
10, 3, 8, 10
10, 3, 8, 11
10, 3, 9, 10
10, 3, 9, 11
10, 4, 5, 12
10, 4, 5, 13
10, 4, 6, 10
10, 4, 6, 11
10, 4, 7, 10
10, 4, 7, 11
10, 4, 8, 9
10, 5, 6, 10
10, 5, 6, 11
10, 5, 7, 10
10, 5, 7, 11
10, 5, 8, 9
10, 6, 7, 8
10, 6, 7, 9
11, 0, 1, 22
11, 0, 1, 23
11, 0, 2, 20
11, 0, 2, 21
11, 0, 3, 20
11, 0, 3, 21
11, 0, 4, 18
11, 0, 4, 19
11, 0, 5, 18
11, 0, 5, 19
11, 0, 6, 16
11, 0, 6, 17
11, 0, 7, 16
11, 0, 7, 17
11, 0, 8, 14
11, 0, 8, 15
11, 0, 9, 14
11, 0, 9, 15
11, 0, 10, 12
11, 0, 10, 13
11, 0, 11, 12
11, 0, 11, 13
11, 1, 2, 20
11, 1, 2, 21
11, 1, 3, 20
11, 1, 3, 21
11, 1, 4, 18
11, 1, 4, 19
11, 1, 5, 18
11, 1, 5, 19
11, 1, 6, 16
11, 1, 6, 17
11, 1, 7, 16
11, 1, 7, 17
11, 1, 8, 14
11, 1, 8, 15
11, 1, 9, 14
11, 1, 9, 15
11, 1, 10, 12
11, 1, 10, 13
11, 1, 11, 12
11, 1, 11, 13
11, 2, 3, 18
11, 2, 3, 19
11, 2, 4, 16
11, 2, 4, 17
11, 2, 5, 16
11, 2, 5, 17
11, 2, 6, 14
11, 2, 6, 15
11, 2, 7, 14
11, 2, 7, 15
11, 2, 8, 12
11, 2, 8, 13
11, 2, 9, 12
11, 2, 9, 13
11, 2, 10, 11
11, 3, 4, 16
11, 3, 4, 17
11, 3, 5, 16
11, 3, 5, 17
11, 3, 6, 14
11, 3, 6, 15
11, 3, 7, 14
11, 3, 7, 15
11, 3, 8, 12
11, 3, 8, 13
11, 3, 9, 12
11, 3, 9, 13
11, 3, 10, 11
11, 4, 5, 14
11, 4, 5, 15
11, 4, 6, 12
11, 4, 6, 13
11, 4, 7, 12
11, 4, 7, 13
11, 4, 8, 10
11, 4, 8, 11
11, 4, 9, 10
11, 4, 9, 11
11, 5, 6, 12
11, 5, 6, 13
11, 5, 7, 12
11, 5, 7, 13
11, 5, 8, 10
11, 5, 8, 11
11, 5, 9, 10
11, 5, 9, 11
11, 6, 7, 10
11, 6, 7, 11
11, 6, 8, 9
11, 7, 8, 9
