score, v[0], v[1], v[2], v[3], v[4], v[5], v[6], v[7], v[8], v[9], v[10], v[11]
36, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 18
36, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 19
36, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 16
36, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 17
36, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 15, 16
36, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 15, 17
36, 0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 13, 16
36, 0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 13, 17
36, 0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 14, 15
36, 0, 1, 2, 3, 4, 5, 6, 7, 8, 13, 14, 15
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 20
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 21
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 18
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 19
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 18
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 13, 19
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 14, 16
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 14, 17
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 15, 16
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 15, 17
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 18
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 19
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 13, 18
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 13, 19
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 14, 16
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 14, 17
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 15, 16
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 15, 17
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 12, 13, 16
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 12, 13, 17
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 12, 14, 15
36, 0, 1, 2, 3, 4, 5, 6, 7, 9, 13, 14, 15
36, 0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 16
36, 0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 17
36, 0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 13, 16
36, 0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 13, 17
36, 0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 14, 15
36, 0, 1, 2, 3, 4, 5, 6, 7, 10, 12, 13, 14
36, 0, 1, 2, 3, 4, 5, 6, 7, 10, 12, 13, 15
36, 0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13, 14
36, 0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13, 15
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 18
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 19
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 16
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 17
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 16
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 17
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 14, 15
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 16
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 17
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 13, 16
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 13, 17
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 14, 15
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 12, 13, 14
36, 0, 1, 2, 3, 4, 5, 6, 8, 9, 12, 13, 15
36, 0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 14
36, 0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 15
36, 0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 13, 14
36, 0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 13, 15
36, 0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 14
36, 0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 15
36, 0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 13, 14
36, 0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 13, 15
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 18
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 19
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 16
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 17
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 13, 16
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 13, 17
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 15
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 16
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 17
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 13, 16
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 13, 17
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 14, 15
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 12, 13, 14
36, 0, 1, 2, 3, 4, 5, 7, 8, 9, 12, 13, 15
36, 0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 14
36, 0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 15
36, 0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 14
36, 0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 15
36, 0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 14
36, 0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 15
36, 0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 13, 14
36, 0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 13, 15
36, 0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13
36, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 16
36, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 17
36, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 14
36, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 15
36, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 13, 14
36, 0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 13, 15
36, 0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 14
36, 0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 15
36, 0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 13, 14
36, 0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 13, 15
36, 0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13
36, 0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13
36, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 16
36, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 17
36, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 14
36, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 15
36, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 13, 14
36, 0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 13, 15
36, 0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 14
36, 0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 15
36, 0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 13, 14
36, 0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 13, 15
36, 0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13
36, 0, 1, 2, 3, 5, 6, 7, 9, 10, 11, 12, 13
36, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 14
36, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 15
36, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13
36, 0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13
36, 0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14
36, 0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15
