score, v[0], v[1], v[2]
22, 1, 7, 14
22, 1, 8, 13
22, 1, 9, 12
22, 1, 10, 11
22, 2, 3, 17
22, 2, 4, 16
22, 2, 5, 15
22, 2, 6, 14
22, 2, 7, 13
22, 2, 8, 12
22, 2, 9, 11
22, 3, 4, 15
22, 3, 5, 14
22, 3, 6, 13
22, 3, 7, 12
22, 3, 8, 11
22, 3, 9, 10
22, 4, 5, 13
22, 4, 6, 12
22, 4, 7, 11
22, 4, 8, 10
22, 5, 6, 11
22, 5, 7, 10
22, 5, 8, 9
22, 6, 7, 9
23, 0, 1, 22
23, 0, 2, 21
23, 0, 3, 20
23, 0, 4, 19
23, 0, 5, 18
23, 0, 6, 17
23, 0, 7, 16
23, 0, 8, 15
23, 0, 9, 14
23, 0, 10, 13
23, 0, 11, 12
23, 1, 2, 20
23, 1, 3, 19
23, 1, 4, 18
23, 1, 5, 17
23, 1, 6, 16
23, 1, 7, 15
23, 1, 8, 14
23, 1, 9, 13
23, 1, 10, 12
23, 2, 3, 18
23, 2, 4, 17
23, 2, 5, 16
23, 2, 6, 15
23, 2, 7, 14
23, 2, 8, 13
23, 2, 9, 12
23, 2, 10, 11
23, 3, 4, 16
23, 3, 5, 15
23, 3, 6, 14
23, 3, 7, 13
23, 3, 8, 12
23, 3, 9, 11
23, 4, 5, 14
23, 4, 6, 13
23, 4, 7, 12
23, 4, 8, 11
23, 4, 9, 10
23, 5, 6, 12
23, 5, 7, 11
23, 5, 8, 10
23, 6, 7, 10
23, 6, 8, 9
