0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,2,2,0,0,0,0,0,0,0,0,0
0,0,0,2,2,3,0,0,0,0,0,0,0,0
0,0,0,3,3,5,6,0,0,0,0,0,0,0
0,0,0,3,3,5,7,8,0,0,0,0,0,0
0,0,0,4,4,7,9,11,12,0,0,0,0,0
0,0,0,4,4,7,10,12,14,16,0,0,0,0
0,0,0,5,5,9,12,15,17,21,22,0,0,0
0,0,0,5,5,9,13,16,19,23,25,27,0,0
0,0,0,6,6,11,15,19,22,28,30,34,36,0
